CLAVE EDO,Clave del Actor,No ID ATRI,Edad,Superficie,InAI,Rendimiento,Autoconsumo,Clientes,nRadiality,Capitales Num,Capitales
TLX,TLXER1472,24459,43,0.48,0.266666667,4.3,100,0,0.079,2,Enlace
TLX,TLXER1474,24460,81,0.71,0.133333333,4.9,100,0,0.079,6,Enlace e interface
TLX,TLXER1475,24461,68,0.13,0.133333333,4.2,100,0,0.079,2,Enlace
TLX,TLXER1476,24462,50,0.67,0.133333333,3.9,100,0,0.079,6,Enlace e interface
TLX,TLXER1477,24463,84,0.84,0.266666667,5.1,100,0,0.118,6,Enlace e interface
TLX,TLXER148,24464,61,1.3,0,1.8,10,1,0,0,Ausente
TLX,TLXER1480,24465,74,0.25,0.2,3.9,100,0,0.079,6,Enlace e interface
TLX,TLXER1481,24466,53,0.26,0.2,2.9,100,0,0.079,2,Enlace
TLX,TLXER1482,24467,76,0.79,0.133333333,4.1,100,0,0.079,6,Enlace e interface
TLX,TLXER1484,24468,73,0.4,0.133333333,4.3,100,0,0.079,2,Enlace
TLX,TLXER1485,24469,77,1.22,0.2,2.6,100,0,0.079,2,Enlace
TLX,TLXER1486,24470,56,1,0.2,3.8,100,0,0.079,2,Enlace
TLX,TLXER1487,24471,71,0.76,0.2,4.8,100,0,0.079,2,Enlace
TLX,TLXER149,24472,64,0.21,0,1,5,1,0,0,Ausente
TLX,TLXER1490,24473,83,3.62,0.133333333,3.5,100,0,0.079,6,Enlace e interface
TLX,TLXER1493,24474,71,5,0.2,2.1,10,1,0.079,6,Enlace e interface
TLX,TLXER1494,24475,55,2.49,0.133333333,2,0,1,0.039,3,Interface
TLX,TLXER1495,24476,51,2,0.2,2.8,10,0,0.079,5,Apego e interface
TLX,TLXER1496,24477,32,2.24,0.066666667,3.5,20,1,0.039,3,Interface
TLX,TLXER1497,24478,69,4.41,0.066666667,0.51,100,0,0.039,3,Interface
TLX,TLXER1498,24479,47,3.68,0.133333333,2.5,50,0,0.079,1,Apego
TLX,TLXER1501,24480,80,3.42,0.066666667,1.5,50,0,0.039,1,Apego
TLX,TLXER1502,24481,78,3.3,0.133333333,2,100,0,0.079,4,Apego y enlace
TLX,TLXER1504,24482,67,4,0.266666667,3.5,50,1,0.079,6,Enlace e interface
TLX,TLXER1505,24483,61,3.45,0.2,4,100,0,0.079,6,Enlace e interface
TLX,TLXER1506,24484,47,3.6,0.2,2,100,0,0.079,6,Enlace e interface
TLX,TLXER1508,24485,65,3.93,0.133333333,1,100,0,0.079,4,Apego y enlace
TLX,TLXER151,24486,64,1.5,0.066666667,1.5,100,0,0.039,2,Enlace
TLX,TLXER1510,24487,88,3.7,0.066666667,3,100,0,0.039,1,Apego
TLX,TLXER1511,24488,42,3,0.266666667,3.5,50,1,0.118,7,"Apego, enlace e interface"
