ID,Clave_actor,Apego,Enlace,Interface,Formas_Capitales,EDO,Agricultura_contrato_18,Análisis_suelo_18,Análisis_foliar_18,Asociación_cultivos_18,Azufre_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Certificación_productos_18,Composta_18,Control_biológico_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desgranadora_18,Desvare_18,Estudio_mercado_18,Feromonas_18,Fertilización_18,Greenseeker_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Maíz_polinización_abierta_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Secadora_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Trampas_colores_18,Tratamiento_semillas_18,Riego_goteo_18
133,CAMER221,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,PSP006,,,,,,,,PSP005,
134,CAMER227,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PSP006,,,,,,,,,,,,,,,,,,,,
135,CAMER228,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,,,,,,,,,,
136,CAMER229,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,PSP007,,,,,,,,,,,PSP006,,,,,,,,,
137,CAMER232,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG004,,,,,,,,,,,PSP006,,,,,,,,,
138,CAMER233,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,FM007,,,,,,,,,,,PSP006,,,,,,,,,
139,CAMER234,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,,,,PI033,,,,,,,,PSP006,,,,,,,,,
140,CAMER236,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,FM007,,,PI033,,,,,,,,,,,,,,,,,
141,CAMER237,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,,FM007,,,PI033,,,,,,,,PSP006,,,,,,,,,
142,CAMER238,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,,,,PI033,,,,,,,,PSP006,,,,,,,,,
143,CAMER239,0,3,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,PI033,,,,,,,,PSP006,,,,,PI009,,,,
